#,Trope Name,Trope Details
1,All your bases are belong to us,"HQ as Safe Haven: Hero bases serve as home, refuge, and mission control. Losing them crushes morale and removes a vital resource.
Dramatic Attack: An assault on HQ heightens stakes more than a failed mission; if destroyed, it can mean shocking defeat and legacy loss.
Story Consequences: Often tied to War Comes Home (personalized conflict), may involve a Mole or supporting characters stepping up in creative ways.
Narrative Devices: Excuse to “trash the set,” create a “Day of the Jackboot” (enemy takeover), or set up a “Die Hard”-style last stand.
Variants: Similar tropes include The Siege, Protect This House, Storming the Castle (when heroes attack villains), Throwaway Country (wider destruction), and Hub Under Attack (gaming).
Common Usage: Frequently occurs at the start of video games to force players to fight back from near-defeat."
2,Alien Invasion,"Core Trope: Aliens invade Earth to conquer — one of speculative fiction’s oldest stories.
Main Variants:
  All-Out Attack: Superior alien tech vs. human resistance.
  Infiltration: Aliens secretly replace/control humans, often as allegory (e.g., Red Scare).
  Hybrid: Infiltration prepares for full assault.
Allies: Weaker “good aliens” may help, or invaders may themselves be benevolent.
Allegory: Reflects real-world fears—imperialism, xenophobia, Cold War paranoia, or foreign domination (e.g., War of the Worlds, Red Dawn).
Twists: Sometimes invaders turn out to be humans; in fantasy settings, “aliens” may be magical beings.
Related Tropes: Easily Thwarted Alien Invasion, We Come in Peace—Shoot to Kill, Aliens Are Bastards, Benevolent Alien Invasion."
3,15 minutes of fame,"Premise: An ordinary day turns extraordinary when someone gains sudden media attention — short-lived “fifteen minutes of fame.”
Inevitability: Fame fades quickly as the media moves on. Often carries an Aesop about appreciating what you have or avoiding reckless behavior.
Causes:
  Drama: Plausible heroic act, used for character development.
  Comedy: Ridiculous stunt, often satirizing media.
  Modern twist: Viral fame from social media posts (offensive, risqué, or absurd).
Outcomes: Can be positive (relief when attention fades) or negative (embarrassment, infamy).
Variation: Characters hiding from attention may let others take the spotlight."
4,Achilles in his tent,"Trope: A team member quits after conflict but returns just in time to save the others.
Pattern:
  Member leaves vowing never to return.
  Threat arises requiring their unique skills.
  Team pleads in vain, fights without them, faces defeat.
  Ex-member returns dramatically, rescues them, and reconciles.
Themes: Aesop about friendship and teamwork.
Uses: Highlights the value of an overlooked or “lame power” member, though risks feeling contrived (Plot Tailored to the Party)."
5,Adventure Rebuff,"Trope: The protagonist repeatedly encounters someone tied to a magical/fantastic world.
Pattern:
  Protagonist tries to help with conflicts.
  Other character rebuffs them, warning of danger.
  After several cycles, the protagonist proves themselves, resolves the conflict, and is accepted — often gaining a Mentor.
Comparisons: Contrast with Refusal of the Call (hero refuses adventure) and Missed the Call (adventure goes to wrong person).
Notes: Rebuffs often due to protagonist’s age; links to the Competence Zone trope."
6,Alternate Universe,"Trope: Characters appear in an alternate reality, often unsettling or different from their own.
Variants:
  Full Multiverse with multiple universes.
  Evil or altered twins.
  Temporary “what if” scenarios where characters die or roles reverse.
  Sometimes just bonus side content.
Usage: Common in superhero stories; often lets writers explore drastic changes without permanent consequences.
Workarounds: If genre doesn’t support alternate universes, it may be framed as a long dream sequence."
7,Amnesia Danger,"Trope: A character with amnesia faces a dangerous situation that would be simple if they remembered their lost knowledge or skills.
Core Requirement: The character is unaware of their own past ability to resolve the conflict, making the challenge perilous despite once having the solution."
8,Attack of the Town Festival,"Trope: A town is attacked during a festival the officials refused to cancel, putting everyone at risk.
Complications:
  Hero must protect the whole town.
  Festival theme or commodity may attract the threat.
  Masked festivals create confusion, hiding attackers among revelers.
Common Use: Often overlaps with Doomed Hometown in fantasy RPGs, with invasions striking mid-celebration."
9,Bad Luck Charm,a character finds an item that is deemed to give bad luck. Initiates a quest to remove the bad luck and return bearer to good luck/health
10,A Fete Worse than Death,"Trope: A seemingly quaint town festival hides a horrific purpose — newcomers are sacrificed, murdered, or otherwise doomed.
Surface vs. Reality: Starts as a quirky celebration with music, rituals, and cheer, then shifts to terror, often with creepy children singing marking the grisly turn.
Common Fates: Victims may be baked into pies, chosen in a “Lottery of Doom,” or sacrificed in fertility rituals.
Effect: Highlights the horror of a whole community (or a hidden minority) complicit in murder, blending cheerful festivity with nightmare fuel.
Foreshadowing: Subtle slips — forced cheer, a sense of being watched, or odd details — hint at the dark truth before the reveal."
